Name,Country,continent,iso2,iso3,lat,lng,population,Cx(lon),Cy(lat),pop_2016_UN,pop_2023_UN,Coastal,n_obs_2016,n_obs_2023,population_x_2016,population_x_2023,alpha_zi_2016,alpha_zi_2023,beta_zi_2016,beta_zi_2023,alpha_bin_2016,alpha_bin_2023,beta_bin_2016,beta_bin_2023,psi_at_center_2016,psi_at_center_2023,pi_at_center_2016,pi_at_center_2023,psi_at_mean_2016,psi_at_mean_2023,pi_at_mean_2016,pi_at_mean_2023,zero_ratio_obs_2016,zero_ratio_obs_2023,zero_ratio_pred_2016,zero_ratio_pred_2023,mean_nonzero_count_2016,mean_nonzero_count_2023,remoteness_mean_2016,remoteness_mean_2023,remoteness_std_2016,remoteness_std_2023,remoteness_range_2016,remoteness_range_2023,logLik_2016,logLik_2023,AIC_2016,AIC_2023,BIC_2016,BIC_2023,pseudo_R2_2016,pseudo_R2_2023,MSE_2016,MSE_2023,RMSE_x_2016,RMSE_x_2023,MAE_2016,MAE_2023,fit_time_sec_2016,fit_time_sec_2023,n_iterations_2016,n_iterations_2023,convergence_2016,convergence_2023,fit_message_2016,fit_message_2023,population_y_2016,population_y_2023,sample_size_2016,sample_size_2023,alpha_2016,alpha_2023,alpha_ci_lower_2016,alpha_ci_lower_2023,alpha_ci_upper_2016,alpha_ci_upper_2023,beta_2016,beta_2023,beta_ci_lower_2016,beta_ci_lower_2023,beta_ci_upper_2016,beta_ci_upper_2023,gamma_2016,gamma_2023,gamma_ci_lower_2016,gamma_ci_lower_2023,gamma_ci_upper_2016,gamma_ci_upper_2023,center_height_2016,center_height_2023,center_height_ci_lower_2016,center_height_ci_lower_2023,center_height_ci_upper_2016,center_height_ci_upper_2023,R2_2016,R2_2023,RMSE_y_2016,RMSE_y_2023,p95_2016,p95_2023,p99_2016,p99_2023,max_2016,max_2023,mean_top_1_2016,mean_top_1_2023,prop_above_20m_2016,prop_above_20m_2023,prop_above_30m_2016,prop_above_30m_2023,gini_2016,gini_2023,alpha_zi_change,beta_zi_change,alpha_bin_change,beta_bin_change,alpha_change,beta_change,gamma_change,cluster
Antananarivo,Madagascar,Africa,MG,MDG,-18.9333,47.5167,2500317.0,47.5216452,-18.9155584,2757.316,3872.264,0,15992001,15992001,2757316.0,3872264.0,-0.4400451578755184,-0.6021300662444697,0.3874813149226644,0.4470179363965897,-0.6667184719906936,-0.6023889687264077,-0.1359288893361177,-0.1615910944323556,0.3917302090883136,0.3538565195200467,0.3392320187846774,0.353797325757293,0.9539440972824036,0.941402599420538,0.131898370371321,0.1389803834142229,0.927616437742844,0.9131738423478089,0.9276182432277652,0.913165851448045,2.218631809378018,2.264145236236464,8.957320419322004,7.55855715049372,3.33862218476224,2.817267375296236,16.552498841146917,13.967682590030638,-5102888.09048926,-5973899.491635195,10205784.18097852,11947806.98327039,10205842.531375391,11947865.333667262,-0.22839712893851,-0.2657210225888644,0.4127615277365599,0.5039369023083632,0.6424651957394735,0.7098851331788567,0.2391804382675303,0.2851171128221104,158.2789604663849,169.3932478427887,12,13,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2757316.0,3872264.0,1157558,1388524,1.8085027289856628,1.8597770885922855,1.8066676493648923,1.8579955482850523,1.8103378086064328,1.861558628899519,-0.0528844664419296,-0.0662261246058394,-0.0535443049240483,-0.0669672714329225,-0.052224627959811,-0.0654849777787562,0.0023298831974149,0.0032105738412396,0.0022809771423855,0.0031458770422969,0.0023787892524444,0.0032752706401824,6.101305282251707,6.422305006806892,6.090119168112314,6.410873597353772,6.112511942647436,6.433756799928491,0.0190279951509898,0.0222598493833544,2.361517446644311,2.6399135085271785,9.712239583333334,10.241194661458318,13.76953125,15.33586263020834,82.57421875,77.101953125,17.79112452013878,20.60338809786052,0.0018625416609794,0.0035915835808383,0.0003541939151213,0.000774923587925,0.210930956016827,0.2182341319816112,-0.16208490836895134,0.0595366214739253,0.06432950326428588,-0.0256622050962379,0.051274359606622744,-0.013341658163909802,0.0008806906438247001,0
Abidjan,Cote d'Ivoire,Africa,CI,CIV,5.368,-3.949,4717347.0,-4.019603,5.3252258,4658.79,5686.35,1,15992001,15992001,4658790.0,5686350.0,-0.8812398599065223,-0.8381124002545031,0.4418686891332106,0.4044484711530431,-0.0593394667642975,0.1270794191458326,-0.10325786835554,-0.1137322562640077,0.2929209153724244,0.3019324831899474,0.4851694847868602,0.5317271689638596,0.9038466360984868,0.851752258386168,0.3124066245866657,0.3542843166664796,0.8604956940660522,0.8170291510111837,0.8604963986954776,0.8170364066176744,3.400302023395383,3.6746024531197135,7.065345825473897,6.395186256374885,2.630191589434528,2.380713629577844,13.053734835765225,11.815566807085276,-10471119.274348754,-13762125.35395125,20942246.54869751,27524258.7079025,20942304.89909438,27524317.05829937,-0.6204722812166887,-0.8084049747518898,1.8085714519828653,2.6723516983901625,1.3448313842199198,1.6347329134724615,0.6882615437072833,0.9537721663318396,167.69269633293152,161.1855947971344,12,11,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4658790.0,5686350.0,2230953,2926070,1.6486195464624371,1.7285285160927402,1.6466259762739852,1.7267523747703166,1.650613116650889,1.7303046574151637,-0.0254150575869973,-0.0507179627920105,-0.0262541343953847,-0.0514995794303644,-0.0245759807786099,-0.0499363461536566,-0.0003950809816925,0.0003293390081298,-0.0004756224700067,0.000250869929317,-0.0003145394933782,0.0004078080869427,5.1997967925209,5.632359880736348,5.1894409586199775,5.6223648924928105,5.210173292095955,5.6423726372663445,0.0063016338434215,0.0270919270922004,2.573368245813364,2.5459166138643017,9.177734375,8.8330078125,13.68359375,15.018690104166671,95.70052083333331,93.576171875,19.863724219161323,21.20379804898573,0.0025110345220181,0.0035518630791471,0.0009650584301865,0.0010584162374789,0.2139762707511197,0.2082790149463633,0.04312745965201925,-0.03742021798016748,0.1864188859101301,-0.010474387908467692,0.07990896963030303,-0.025302905205013198,0.0007244199898223,4
Yaounde,Cameroon,Africa,CM,CMR,11.52,3.862,,11.5191364,3.8614776,3272.87,4509.287,0,15992001,15992001,3272870.0,4509287.0,-1.6969952684161362,-1.8213193956104805,0.5653087144621332,0.6012573182706185,-0.4150263852198312,-0.2471900993993669,-0.1492853871074507,-0.1948485281192098,0.1548581078656649,0.1392756312569768,0.3977075028778286,0.4385152318184624,0.9557734781833768,0.9242147504337092,0.1577949270597415,0.161388821727454,0.894391139670389,0.8630566618899036,0.894452840930124,0.863087244613925,2.5715688997019948,2.6341243234012084,8.438206299706,7.188869134447613,3.1412442311865667,2.676160417898936,15.591936678544451,13.283438251391798,-6586990.214672194,-8405498.665508088,13173988.429344388,16811005.331016175,13174046.77974126,16811063.681413047,-0.2213823316410363,-0.3160700912088068,0.6502629068536016,0.8801591235618311,0.8063888062551473,0.9381679612744356,0.3337245980570694,0.4309221752778688,179.1982877254486,155.01761627197266,14,11,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3272870.0,4509287.0,1688897,2189998,1.7826659736502577,1.7465422124354264,1.7813499271705948,1.7452586769488223,1.7839820201299206,1.7478257479220305,-0.041528685839067,-0.0930029378349514,-0.0420494322154652,-0.0935736124647971,-0.0410079394626688,-0.0924322632051057,0.00137262727482,0.0050962401304264,0.0013304669566884,0.005041702512389,0.0014147875929515,0.0051507777484638,5.945686351268798,5.734738844679529,5.937866698319023,5.727382825731556,5.953516302020018,5.742104311400843,0.03230183162434,0.0696377541307182,1.691632702885019,1.6515035263590616,8.251953125,7.009765625,11.3564453125,10.4424047851561,69.35546875,82.8515625,14.443652107320634,14.5795691023963,0.0007377596147071,0.0009529689068209,0.000184143852467,0.0003310505306397,0.1515285876972597,0.162499347154795,-0.12432412719434427,0.0359486038084853,0.1678362858204643,-0.045563141011759095,-0.036123761214831296,-0.051474251995884394,0.0037236128556064,0
Lusaka,Zambia,Africa,ZM,ZMB,-15.412,28.306,2426689.0,28.3054202,-15.4191874,2294.091,3181.25,0,15996000,15996000,2294091.0,3181250.0,-1.5584059745171972,-1.601628856323778,0.4188840177965671,0.4277969342492175,-0.6895900767268317,-0.4891900485338554,-0.078967388461429,-0.1002303703434887,0.1738754983006244,0.1677540828317125,0.3341242689244988,0.3800843900767965,0.9304183412277506,0.88067557209019,0.1866035901331122,0.2087031904674942,0.8751589772443111,0.8315313203300825,0.8750544178347592,0.8315147318402136,2.4184681993653343,2.583158832206173,9.910951726953307,8.416311123525432,3.691512410047177,3.1348066074035743,18.31503324781377,15.552998571480096,-7910099.28247263,-10511472.26257049,15820206.56494526,21022952.52514098,15820264.916342257,21023010.87653797,-0.3135629945971918,-0.4491820881580874,0.7880636542970179,1.149938137350695,0.887729493875819,1.072351685479486,0.4005905168424286,0.5572428538655706,179.2562220096588,172.9754273891449,14,13,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2294091.0,3181250.0,1996955,2694822,1.551128788926402,1.5867919799757222,1.5493126557393784,1.5851635481037982,1.5529449221134255,1.5884204118476462,-0.0414877299765391,-0.0565950539152835,-0.0420739322863654,-0.0571782172527584,-0.0409015276667129,-0.0560118905778086,0.0031812185187324,0.003458085631303,0.0031396420424141,0.0034119018503669,0.0032227949950506,0.0035042694122391,4.716791440683515,4.888042809811687,4.708232893295209,4.880089442624723,4.725365545656812,4.896009139066323,-0.0082715854587156,0.0019534551248079,2.0199717954580456,2.0638560905214804,7.61328125,7.545309244791648,11.170839843749995,11.58741102430556,86.5458984375,91.203125,15.948200193162387,16.855783316574612,0.0014201621969448,0.0017451987552424,0.000553843226312,0.0006412297361384,0.1925685653296683,0.1918583121608546,-0.04322288180658074,0.00891291645265041,0.2004000281929763,-0.02126298188205969,0.03566319104932014,-0.0151073239387444,0.00027686711257060006,0
Hanoi,Vietnam,Asia,VN,VNM,21.0283,105.8542,8246600.0,105.836033,21.030436,3854.847,5253.385,0,15999999,15999999,3854847.0,5253385.0,0.0561027523715362,-0.022121144968254,0.1425515124371535,0.147251968022868,-0.0679605046891723,-0.0088738252501244,-0.0521630210809848,-0.0445238660488584,0.5140220104073309,0.4944699392650866,0.4830164100680258,0.4977815582450078,0.756859722052894,0.7176888379237912,0.3862856944297014,0.4261254282240639,0.752341297021331,0.714133232133327,0.7523387633119183,0.7141319581860773,3.62254302102768,3.924340405101328,7.572256550855726,6.486482899331181,2.8595467892386184,2.4495209880520377,14.673154347527491,12.569194415861212,-18105146.46190574,-20749696.68393769,36210300.92381148,41499401.36787538,36210359.27620835,41499459.72027225,-1.021572352211348,-1.1671725914640063,3.4919968545754325,4.508354273188789,1.8686885386750336,2.1232885515607127,1.301695341917651,1.5684315915905556,128.23907661437988,152.56154775619507,8,9,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3854847.0,5253385.0,3962536,4573868,2.574089142862339,2.649457336237715,2.572383804891752,2.6476411006283738,2.575794480832926,2.651273571847056,-0.1510918126708876,-0.18787036910056,-0.151651629486164,-0.1885484991833032,-0.1505319958556112,-0.1871922390178167,0.0074804596710192,0.010461851701181,0.0074391946868592,0.0104043411663784,0.0075217246551792,0.0105193622359835,13.119361850144855,14.14635984520471,13.097007970109562,14.120690040974,13.141753883623576,14.172076314212235,0.0516712748016844,0.0451828659345496,7.480232366229409,8.36365158836905,14.548828125,16.572591145833332,43.17578125,52.05772851562542,99.0498046875,99.4765625,73.13961100289364,79.74314097832732,0.0222095143110371,0.0308657792485484,0.0138295273531899,0.0164265781172521,0.2881182902060946,0.3186658282409109,-0.07822389733979021,0.004700455585714497,0.05908667943904789,0.0076391550321264,0.07536819337537581,-0.0367785564296724,0.0029813920301617995,3
Monterrey,Mexico,Latin America,MX,MEX,25.6667,-100.3,5341171.0,-100.309994,25.668764,4554.656,5116.647,0,15996000,15996000,4554656.0,5116647.0,-1.1861364099166305,-1.121528834384961,0.3510926013753951,0.3374402493623627,-0.0915971003612571,-0.0755750157815216,-0.0365983599499132,-0.0313929622097337,0.2339506477878036,0.245727810600496,0.4771167219530361,0.4811152336916273,0.7703759941605361,0.7410966727679411,0.4154648398866842,0.4310044833386942,0.7404182920730182,0.717417854463616,0.7404084430413138,0.7174132994061934,3.8932369266056703,3.9934838935760135,6.826039302078585,6.440266624269759,2.561553247834384,2.4167874162829865,12.99579371821623,12.261338213191404,-18232964.800787657,-19802175.159510072,36465937.60157532,39604358.31902015,36465995.95297231,39604416.67041714,-0.9905825293580128,-1.079268179175808,3.78833990448192,4.280677127785824,1.946365819799022,2.068979731120105,1.324542953737825,1.464318032296783,138.59244418144226,144.1030077934265,8,8,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4554656.0,5116647.0,4152160,4520128,1.7726640233541078,1.8563594475965737,1.771055807425574,1.854678540623478,1.7742722392826416,1.858040354569669,-0.0371783724553044,-0.0610618808458341,-0.0378297460971993,-0.0617660450897315,-0.0365269988134095,-0.0603577166019366,0.0016348684738207,0.0039518180383353,0.0015747946432483,0.0038845434051255,0.0016949423043932,0.0040190926715451,5.886514303140995,6.400393338364683,5.877055125314103,6.389643909497638,5.895988705607311,6.411160851216159,-0.0086731564473396,-0.010572940686911,3.5666785092884288,4.034516992715982,10.66162109375,12.050130208333334,16.427734375,18.367128906249896,99.4912109375,99.228515625,28.16819211346438,31.65582529767968,0.0056356209779969,0.0078329640222577,0.0025492755577819,0.0033908331799453,0.230366868387745,0.2525246601214926,0.06460757553166951,-0.013652352013032387,0.016022084579735488,0.0052053977401795015,0.0836954242424659,-0.023883508390529704,0.0023169495645146004,4
Buenos Aires,Argentina,Latin America,AR,ARG,-34.5997,-58.3819,16710000.0,-58.389111,-34.609504,14792.181,15490.415,1,15996000,15996000,14792181.0,15490415.0,-0.0637729150310187,-0.0621517326901312,0.1191482452527978,0.1145280533319205,0.2693598954245753,0.2374601017243056,-0.1770846853254905,-0.1703834977203348,0.4840621724512002,0.4844670666058743,0.5669357534816575,0.5590876366554545,0.5912387810659282,0.5852685190346634,0.4075789344377632,0.4091631287016515,0.5952148037009253,0.5892109902475618,0.5952228381089029,0.5892191325046648,3.7717828910952735,3.776671550260152,3.632967569342451,3.550145075229106,1.3727193347233129,1.34142479744787,6.725840826113814,6.572508625482877,-25532432.036825813,-25738949.591662098,51064872.07365163,51477907.1833242,51064930.42504862,51477965.53472119,-1.3650407213691804,-1.3762827315542108,5.1623392527821546,5.199518793606788,2.272078179284805,2.280245336275636,1.8494388751274595,1.8663858616018056,148.20789647102356,148.62438797950745,9,9,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14792181.0,15490415.0,6474926,6570975,2.8071181095979774,2.863201907221173,2.805627106392769,2.86165793055413,2.8086091128031856,2.864745883888216,-0.448956370738259,-0.4712012699289725,-0.4499020699081904,-0.4722016477964081,-0.4480106715683276,-0.4702008920615368,0.0423921625766382,0.0461425696998565,0.0422518241693106,0.0459909052403384,0.0425325009839659,0.0462942341593746,16.56211916379459,17.51752673100054,16.537443391435545,17.490500947422014,16.58683175525119,17.5445942739878,0.1866756594307981,0.164159013277589,5.496585144537482,6.363290977296566,17.6015625,19.342447916666668,35.521484375,40.9765625,98.4384765625,98.509765625,47.18956127845001,54.33583182063608,0.040201694969178,0.0474399917820414,0.0164004963145524,0.0221658125316258,0.3069977945960152,0.3202027019390513,0.0016211823408874976,-0.004620191920877301,-0.031899793700269685,0.006701187605155701,0.0560837976231956,-0.022244899190713485,0.003750407123218301,2
Medan,Indonesia,Asia,ID,IDN,3.5894,98.6739,3632000.0,98.679187,3.591613,2237.869,2439.054,0,15992001,15992001,2237869.0,2439054.0,-1.7495051593198123,-1.9059209085926807,0.3274524561006841,0.3401922279939884,0.3778139218085015,0.4572683360638783,-0.0982307027435748,-0.0994971112606373,0.1481096227739268,0.1294398107829009,0.59334573944355,0.6123659498091423,0.831248788350523,0.8056243702221594,0.3485685402482172,0.3737861238038997,0.7772078678584374,0.7528835197046323,0.7771984351665999,0.7528763602715727,3.8785332252563367,4.051290940252088,10.212196370777155,9.78195768092614,3.807167968059834,3.646772407775437,19.250926035963506,18.43988667719905,-15394747.43853316,-16951808.50366259,30789502.87706632,33903625.00732518,30789561.22746319,33903683.35772205,-0.814890828842771,-0.8957835441699666,2.846119210206715,3.318124603934128,1.687044519331578,1.821572014479287,1.0254856072144105,1.1565652779709354,144.08073496818542,145.1539077758789,10,10,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2237869.0,2439054.0,3562883,3951887,1.9860196855015635,1.8504456557135345,1.9849257441789496,1.8492481439621635,1.9871136268241767,1.8516431674649056,-0.0646332212111206,-0.0660638724777023,-0.0649408742425724,-0.0664087453628833,-0.0643255681796688,-0.0657189995925213,0.0026772486654951,0.0032747674632001,0.0026581809447189,0.0032526913828386,0.0026963163862713,0.0032968435435616,7.286473510049896,6.362654444161702,7.278506893880913,6.355039651007038,7.294448845998103,6.370278361582772,0.060586508030604,0.0218784787279482,2.506573559832732,2.731978683240006,10.09033203125,9.363002232142858,14.432528211805574,14.521716579861126,98.884765625,99.0859375,20.74722388315467,22.49129169953572,0.0027034286559508,0.0036774836932331,0.0009812278427329,0.0013386010278127,0.1728099912988521,0.191081018145842,-0.1564157492728684,0.01273977189330433,0.0794544142553768,-0.0012664085170625006,-0.13557402978802902,-0.0014306512665817062,0.0005975187977049997,1
Cairo,Egypt,Africa,EG,EGY,30.13,31.324,22995802.0,31.244742,30.044036,19229.733,22183.201,1,15999999,15999999,19229733.0,22183201.0,-1.181826764505236,-1.1569173698127106,0.6328037710205151,0.6363715879042445,0.163294257240397,0.1783146780269006,-0.1157587970833839,-0.1131325725207895,0.2347238981033481,0.2392278662850814,0.5407330921356162,0.5444609247983305,0.7066652311226658,0.6841408073691055,0.4467682073431372,0.4589035037946818,0.6873048554565535,0.6684756042797253,0.6873048351778652,0.668475616355527,4.197119518572603,4.277421909022527,3.257043326487924,3.032480771164992,1.2226078750936258,1.138313034323026,6.024774021251914,5.609385426801008,-21788586.566823687,-22965572.41146713,43577181.133647375,45931152.82293426,43577239.48604424,45931211.17533113,-1.192045617091623,-1.2594911061328251,4.95585329461382,5.372756310214551,2.226174587630948,2.317920686782564,1.6428576193699882,1.754874459631009,198.6528964042664,213.7482144832611,10,10,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19229733.0,22183201.0,5003108,5304380,2.501945914333957,2.46883559123176,2.4998941469132268,2.46682720565891,2.5039976817546874,2.47084397680461,0.0179063192074632,0.0088494189544218,0.016296874781461,0.0071776767859514,0.0195157636334655,0.0105211611228923,-0.0196296633101499,-0.0189255869829022,-0.019914726931851,-0.0192408897620839,-0.0193445996884488,-0.0186102842037205,12.206223130302876,11.80868870247951,12.181204474362396,11.784996102357203,12.231293171403696,11.832428934293477,-0.011525526462494,-0.0140191446471829,7.4219409195713615,7.102107254910712,27.279296875,26.19075520833333,38.990234375,37.403388671874986,99.04557291666669,98.9638671875,46.976313960822885,45.21474904952886,0.1135158385547543,0.1020356761770461,0.0368942665239287,0.0316922995712976,0.2936332925741842,0.2899409560327268,0.0249093946925254,0.0035678168837294244,0.015020420786503591,0.002626224562594398,-0.03311032310219719,-0.0090569002530414,0.0007040763272477026,1
Lagos,Nigeria,Africa,NG,NGA,6.668,3.316,11847635.0,3.369433,6.481701,12634.381,15945.912,0,15992001,15992001,12634381.0,15945912.0,0.3038536842841192,0.1816664223922384,0.1570724230017218,0.1700265985187286,-0.0829946011436304,0.1262102944168188,-0.1022407985566868,-0.105869369214352,0.5753843106201214,0.54529211060628,0.4792632514209132,0.5315107567001581,0.7265224670775654,0.6964219872060001,0.3725744466784113,0.4310224281697058,0.7280243416693133,0.696079058524321,0.7280285571790953,0.6960836971730776,3.477301304652213,3.96453596318255,4.285897158270052,3.8149956656821913,1.595510441498865,1.4202079970873798,7.919649726889406,7.049499385094785,-19298741.344629504,-22154033.5729776,38597490.68925901,44308075.1459552,38597549.03965588,44308133.49635207,-1.0621083416669554,-1.2556699287211557,3.571843549055677,4.930593432018264,1.8899321546171115,2.2204939612658854,1.358336609384276,1.6682282182648966,135.25603008270264,154.37751293182373,9,9,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12634381.0,15945912.0,4349435,4860304,1.7646398126929208,1.7640206185538718,1.763262336453662,1.762711552209592,1.7660172889321797,1.7653296848981517,0.0075880057870362,-0.005183806110397,0.0068096002816633,-0.0060090302520724,0.0083664112924092,-0.0043585819687217,-0.0062891361765773,-0.011867911021789,-0.0063885734263026,-0.0119856512871069,-0.0061896989268521,-0.0117501707564711,5.839468676751628,5.835854031170991,5.831430484879661,5.828219509206779,5.847517948671404,5.843498553775284,0.0173937814009306,0.0631157762380855,2.793381013075932,2.698679794707312,9.151692708333334,8.805859375,13.8779296875,14.5048828125,97.333984375,96.830078125,23.11453016049355,22.846550065604497,0.003746233706217,0.0039227998907064,0.001665273765443,0.0014774795979839,0.1925966351394021,0.2080988999694282,-0.12218726189188078,0.012954175517006783,0.2092048955604492,-0.0036285706576651977,-0.0006191941390489841,-0.0127718118974332,-0.005578774845211699,4
