distance_m,cv_model_m3,cv_empirical_m3
7201.873581," 164,706,352 ",192359133.2
7248.94465," 166,148,776 ",194647180.3
7296.015719," 167,588,753 ",196906683
7343.086788," 169,026,195 ",199142881.6
7390.157857," 170,461,014 ",201444454.4
7437.228926," 171,893,123 ",203757425.8
7484.299996," 173,322,438 ",206111716.2
7531.371065," 174,748,875 ",208548651.6
7578.442134," 176,172,353 ",211137764.5
7625.513203," 177,592,790 ",213881755.5
7672.584272," 179,010,107 ",216369298.8
7719.655341," 180,424,226 ",218808676.9
7766.726411," 181,835,069 ",221223947.5
7813.79748," 183,242,562 ",223692371.1
7860.868549," 184,646,630 ",226210833.4
7907.939618," 186,047,199 ",228683125.6
7955.010687," 187,444,198 ",231201831.1
8002.081756," 188,837,557 ",233785369.1
8049.152825," 190,227,207 ",236433934.2
8096.223895," 191,613,079 ",239043630.1
8143.294964," 192,995,107 ",241726162.7
8190.366033," 194,373,225 ",244270889.5
8237.437102," 195,747,370 ",246815813.7
8284.508171," 197,117,478 ",249348407.2
8331.57924," 198,483,488 ",251924734
8378.65031," 199,845,339 ",254516079.7
8425.721379," 201,202,972 ",257262908
8472.792448," 202,556,329 ",259846600.2
8519.863517," 203,905,353 ",262512353.1
8566.934586," 205,249,989 ",265339090.4
8614.005655," 206,590,182 ",268173147.8
8661.076724," 207,925,879 ",270983315.6
8708.147794," 209,257,027 ",273705778.1
8755.218863," 210,583,576 ",276570754.3
8802.289932," 211,905,477 ",279465375.6
8849.361001," 213,222,679 ",282311274
8896.43207," 214,535,137 ",285234398.5
8943.503139," 215,842,803 ",288241568.4
8990.574209," 217,145,633 ",291153468.7
9037.645278," 218,443,582 ",294008450.6
9084.716347," 219,736,607 ",296944230.7
9131.787416," 221,024,667 ",300032411.7
9178.858485," 222,307,720 ",302917363.5
9225.929554," 223,585,727 ",305589741.4
9273.000624," 224,858,649 ",308369476.2
9320.071693," 226,126,449 ",311200934.6
9367.142762," 227,389,090 ",314037863.7
9414.213831," 228,646,536 ",316969532
9461.2849," 229,898,753 ",320011249.7
9508.355969," 231,145,708 ",322948414.1
9555.427038," 232,387,367 ",325923678.9
9602.498108," 233,623,701 ",328617966
9649.569177," 234,854,678 ",331255025.8
9696.640246," 236,080,268 ",334115967
9743.711315," 237,300,444 ",337040502.5
9790.782384," 238,515,177 ",339898462.3
9837.853453," 239,724,442 ",342409683.8
9884.924523," 240,928,213 ",344859510.9
9931.995592," 242,126,464 ",347424414.3
9979.066661," 243,319,173 ",350025932.8
10026.13773," 244,506,317 ",352484088.5
