distance_m,empirical_volume_m3,constructed_area_m2,empirical_H_m,model_H_m,psi,pi,model_volume_m3
140.97785211875006,1560280.468347,96000.0,7.018693305785487,5.19116359352329,0.29893402230879246,0.48348506564990174,439458.95007971337
422.93355635625016,2097007.61751,224500.0,3.222287306832031,5.1738878506036485,0.3111694635337767,0.48011739120722785,1282064.0950663527
704.8892605937504,2563479.2975125,243700.0,2.3951254362992125,5.156600070032659,0.32367449063303094,0.4767515225988452,2076313.6286797181
986.8449648312504,2838450.9783109995,248100.0,1.882359678169747,5.139300757452213,0.33643660959268734,0.4733877643011071,2822364.9029939184
1268.8006690687507,1020384.76572,171300.0,0.5620773809484891,5.121990417276977,0.34944193463589396,0.4700264200250208,3520474.87989763
1550.7563733062507,1475922.4609794999,257800.0,0.6845031082341879,5.104669552671346,0.36267522136932023,0.46666779260698366,4171003.8857620456
1832.7120775437506,3311403.5165999997,639600.0,1.2165050515942561,5.0873386655265715,0.3761199148493316,0.46331218390019285,4774418.552433652
2114.667781781251,6378524.413738,1264000.0,1.9322267695340487,5.069998256438032,0.38975821268095917,0.45995989466680864,5331293.859248266
2396.623486018751,7423840.234078,1463600.0,1.982404004508003,5.052648824682686,0.40357114298948915,0.4566112244709548,5842314.202585028
2678.5791902562514,7286570.509234999,1496100.0,1.7799645725279194,5.035290868196689,0.41753865681816915,0.45326647157263306,6308273.433800892
2960.5348944937514,7490950.977132999,1583600.0,1.6616835190475379,5.017924883553158,0.4316397342139694,0.44992593282263504,6730073.822939935
3242.4905987312513,7723580.6626120005,1544600.0,1.5633915542135568,5.000551365940132,0.44585250297504575,0.4465899035585249,7108723.924028174
3524.4463029687513,7693903.516085001,1576800.0,1.443293291825416,4.983170809138682,0.4601543687574387,0.4432586775017727,7445335.337583015
3806.4020072062517,7560421.287102001,1630800.0,1.3110386652530188,4.965783705501194,0.47452215498354616,0.4399325466561103,7741118.386649415
4088.357711443752,8839616.99329,1874500.0,1.414731584852717,4.948390545929834,0.48893225076958147,0.43661180120718557,7997376.743627982
4370.313415681252,8885136.718971,1958700.0,1.3467597414745403,4.930991819855167,0.5033607649014026,0.43329672942358477,8215501.065755064
4652.269119918752,10271456.640875,2142400.0,1.4492788578210363,4.913588015214978,0.5177836837443879,0.42998761755929377,8396961.716697622
4934.224824156252,9720787.8893755,2078700.0,1.3002621603274143,4.896179618433227,0.5321770308786633,0.4266847497576649,8543300.669722509
5216.180528393752,9483438.2796295,2076100.0,1.2110609978276032,4.878767114399229,0.5465170262093673,0.4233884079569583,8656122.703727234
5498.136232631253,10196498.046427,2154000.0,1.2198720943946224,4.861350986446966,0.5607802423143142,0.4200988717975177,8737086.016587686
5780.091936868753,11333608.985607,2423900.0,1.2835943793466382,4.8439317163346045,0.5749437558579249,0.4168164185306467,8787892.390395647
6062.047641106253,11150892.577426502,2434600.0,1.2198411822018556,4.826509784224188,0.5889852920181765,0.4135413229292425,8810277.049946574
6344.003345343753,11945771.876151,2500000.0,1.2530032275628864,4.809085668661498,0.6028833600383312,0.41027385720024645,8805998.359142568
6625.959049581253,12195216.013903998,2595900.0,1.2342322507714323,4.791659846556107,0.6166173782213996,0.4070142908989662,8776827.49977301
6907.9147538187535,14219993.35782,3080900.0,1.3512726766909529,4.774232793161612,0.6301677869254668,0.4037628908453223,8724538.273529062
7189.8704580562535,13887723.242231,3231600.0,1.293995420573082,4.756804982056048,0.643516148383942,0.4005199210420717,8650897.161319776
7471.826162293753,14595779.881635997,3258500.0,1.3238938376061025,4.739376885122484,0.656645232457694,0.39728564259505317,8557653.764313538
7753.781866531253,14884167.968096998,3230500.0,1.313112494895716,4.721948972529812,0.6695390877169429,0.394060313635505,8446531.73903996
8035.737570768753,15491681.445790999,3325800.0,1.3083503349733134,4.704521712713707,0.6821830975409195,0.3908441892444945,8319220.324829192
8317.693275006253,15569332.422787,3180800.0,1.2537170625529463,4.687095572357796,0.6945640212044786,0.38763752137950286,8177366.546352691
8599.648979243753,16535752.929657003,3255000.0,1.2700748898566843,4.669671016374986,0.7066700201857082,0.3844405588032018,8022568.157591396
8881.604683481255,17447671.680347,3372500.0,1.302760458955092,4.652248507889004,0.718490670170869,0.3812535470144607,7856367.376717385
9163.560387718753,17241362.50268,3364000.0,1.2439207249663673,4.634828508216115,0.7300169594477122,0.3780767281816134,7680245.444627943
9445.516091956255,17400178.911830995,3413000.0,1.206248462869885,4.617411476847031,0.7412412745617416,0.37491034107801946,7495618.023666765
9727.471796193753,16298232.812756998,3311400.0,1.097127215784993,4.59999787142901,0.7521573742599772,0.3717546210199453,7303831.437796509
10009.427500431255,14438264.060808,3096300.0,0.951406387790273,4.582588147748149,0.7627603528623031,0.36860979980679126,7106159.74147345
10291.383204668753,12636653.3201015,2864100.0,0.8308989739859654,4.565182759711867,0.7730465942817495,0.3654761056636886,6903802.5919680875
10573.338908906255,11560256.641013,2635000.0,0.7550693922968414,4.547782159331576,0.7830137179633866,0.3623537631864842,6697883.889050492
10855.294613143757,11107928.124008,2565200.0,0.7027667540588514,4.530386796705561,0.7926605180290658,0.3592429932891336,6489451.136919182
11137.250317381255,9862482.22742,2319400.0,0.6219965615704633,4.512997120002031,0.8019868969049462,0.35614401315351485,6279475.476032017
11419.206021618756,8316663.280766999,1994700.0,0.5099908345890336,4.4956135754423805,0.8109937946739468,0.3530570361816764,6068852.327074351
11701.161725856255,7684273.048499999,1816800.0,0.4619318413873798,4.4782366072846465,0.8196831153397164,0.34998227195053,5858402.585596109
11983.117430093756,7276949.21831,1736100.0,0.42767425296862793,4.460866657807149,0.828057651116218,0.34691992616899436,5648874.303750447
12265.073134331255,6090915.625137,1494700.0,0.35574847476221616,4.443504167292344,0.8361210057714379,0.34387020063759466,5440944.794923227
12547.028838568756,5932793.359853,1501300.0,0.33923435650498346,4.426149574010857,0.8438775179587212,0.34083329321052125,5235223.09768492
12828.984542806254,5484473.046342,1395900.0,0.3017754143368284,4.408803314205727,0.8513321853682402,0.33780939776014623,5032252.7372425245
13110.940247043756,6428148.242649999,1627300.0,0.3403702160762047,4.391465822076841,0.8584905904272259,0.3347987041439959,4832514.725231469
13392.895951281254,7597379.491363,1933100.0,0.39219840856066424,4.374137529765572,0.8653588281735699,0.33180139817417387,4636430.742081274
13674.851655518756,7227308.593682999,1871500.0,0.3606413896848256,4.356818867339607,0.871943436825546,0.32881766158922804,4444366.450137607
13956.807359756258,6482767.772432501,1719000.0,0.3245860854816952,4.339510262777986,0.878251331472629,0.3258476720284507,4256634.890062374
